session_uid,procedure_slug,procedure_id,participant_id,laptop_short,rtaps_session_id,decision_time_synced_t,decision_time_unix_t,window_start_synced_t,window_end_synced_t,pupil_n_samples,pupil_data_yield,pupil_diam_mean,pupil_diam_std,pupil_diam_median,pupil_diam_iqr,pupil_diam_slope,pupil_diam_range,pupil_eye_asymmetry,pupil_pcps_mean,pupil_pcps_std,pupil_diam_mean_z,pupil_diam_slope_z,fixation_count,fixation_rate_per_sec,fixation_dur_mean_ms,fixation_dur_std_ms,fixation_dur_median_ms,fixation_dispersion_mean,fixation_dispersion_std,fixation_time_in_fixation_ratio,fixation_saccade_amp_mean,blink_count,blink_rate_30s,blink_dur_mean_s,blink_dur_std_s,blink_inter_interval_mean_s,blink_inter_interval_cv,blink_long_count,gaze_n_samples,gaze_norm_x_mean,gaze_norm_y_mean,gaze_norm_x_std,gaze_norm_y_std,gaze_region_entropy,gaze_region_top1_ratio,gaze_transitions_per_sec,step_number,step_id,n_steps_remaining,step_threshold_s,time_in_step_so_far_s,is_over_threshold_now,progress_vs_threshold,step_sub_steps_shown_eventually,step_exceeded_threshold_eventually,cumulative_session_time_s,cumulative_blink_count_session,cumulative_long_blink_count_session,frac_window_in_current_step,valid,data_yield,workload_label
zahabi__331__centrifuge,centrifuge,1,P12,zahabi,sess_1764873793901_qatgkd,17287.618229,1764873261.679381,17277.618229,17287.618229,606.0,0.505,1.9032401237485874,0.17505727781999864,1.8978801402027972,0.16507244360162798,-0.011277668650362619,1.4514304697588845,0.9200337590350159,0.7624147350163684,0.1566454619405852,0.9645884880580748,-0.011641189005094026,54.0,1.8,145.32705555528216,100.41880626935648,112.20349999894096,1.265796228195519,0.2536780235510294,0.2615886999995079,0.10264214283370852,,,,,,,,0.0,0.6271086828865947,0.8689145852187804,0.13831245877575474,0.3461291875298784,1.4661454352351775,0.5370370370370371,1.0,3.0,6.0,5.0,559.0,1833.778380870819,1.0,3.280462219804685,1.0,1.0,1908.778380870819,0.0,0.0,1.0,True,0.505,
lenovo__231__centrifuge,centrifuge,1,P14,lenovo,sess_1764877390836_kqyf3k,63053.63376,1764876576.8543787,63043.63376,63053.63376,1201.0,1.0008333333333332,2.728281686583822,0.1462457113513993,2.72734552146748,0.22636288708739283,0.027395764720620684,0.8458893052157768,0.2132975008493485,-0.0662334211404207,0.03949097786089303,-0.06738568086606568,0.009364752396247903,108.0,3.6,128.22321759294599,44.727416913225106,120.21800000002258,1.118021100322377,0.3349587865633826,0.4616035833346056,0.036487780101588645,1.0,1.0,0.1165299999993294,,,,0.0,0.0,0.46641368435467284,0.5380350371166125,0.041435112873705576,0.09237697939056949,0.26557518099056504,0.9629629629629629,0.4,1.0,1.0,7.0,43.0,19.018378734588623,0.0,0.4422878775485726,0.0,0.0,19.018378734588623,4.0,0.0,1.0,True,1.0008333333333332,
zahabi__341__centrifuge,centrifuge,1,P13,zahabi,sess_1764876093374_cgg6ok,18636.307096,1764874610.3581052,18626.307096,18636.307096,1690.0,1.4083333333333334,1.4332284957708854,0.4207871758280687,1.655688270794586,0.8179572661306547,0.05431042682769437,2.2141084070996064,0.826803182165746,-0.05612053664929452,0.18867848310936255,-0.015829454732282616,0.03729392943445845,99.0,3.3,121.14572222197589,66.33532194028835,102.00699999768403,1.2936786737470074,0.22107200409503375,0.39978088333252043,0.057730299652692656,2.0,2.0,0.40525849999903585,0.12760150000030993,18.14994800000204,0.0,1.0,0.0,0.36854715644209407,0.5638691392362821,0.12804869494506818,0.11430654314382076,1.7564366466892494,0.5050505050505051,2.4,3.0,6.0,5.0,559.0,591.9841051101685,1.0,1.0590055547587987,1.0,1.0,665.9841051101685,63.0,31.0,1.0,True,1.4083333333333334,
lenovo__241__centrifuge,centrifuge,1,P15,lenovo,sess_1764878417226_01bll6,64325.02972830205,1764877848.245,64315.02972830205,64325.02972830205,994.0,0.8283333333333334,3.2393067766193786,0.34659158466653,3.2050925209926193,0.44717699334343575,-0.034536148388104884,2.5089666097320165,0.3773802021832484,-0.0801676668432811,0.09480815662866046,-0.07923149989400075,-0.009816852723020146,84.0,2.8,131.73808333400908,52.788610343249175,113.60950000016601,1.3400988563101588,0.1814807216720284,0.36886663333522546,0.08158252898520149,15.0,15.0,0.4458939333329909,0.3317402499999794,1.8968449999998225,0.6973453779032142,4.0,993.0,0.46129172706477334,0.6871323346669328,0.08797103657798927,0.17088427846275853,1.5742611210159234,0.5840886203423967,3.7,4.0,11.0,4.0,68.0,195.0,1.0,2.8676470588235294,1.0,1.0,340.0,131.0,22.0,1.0,True,0.8283333333333334,
zahabi__361__centrifuge,centrifuge,1,P17,zahabi,sess_1764881214955_9vqqte,24430.465762,1764880404.5271828,24420.465762,24430.465762,,,,,,,,,,,,,,121.0,4.033333333333333,132.06217768590648,48.80648881196954,112.87649999940186,1.2071609500552842,0.326579845632144,0.5326507833331562,0.08185257939037845,8.0,8.0,0.21002812500000795,0.027476919571664538,1.7747842857139144,0.77820183545495,0.0,0.0,0.48440168534164973,0.6301912263730365,0.05073221937920889,0.14023858129305747,1.2607949909355183,0.4793388429752066,2.8,3.0,6.0,5.0,559.0,31.57118272781372,0.0,0.05647796552381703,0.0,0.0,79.57118272781372,15.0,1.0,1.0,True,,
zahabi__341__centrifuge,centrifuge,1,P13,zahabi,sess_1764876093374_cgg6ok,18845.307096,1764874819.3581052,18835.307096,18845.307096,75.0,0.0625,1.5072569325514125,0.38932053071691963,1.580134156409426,0.3929179495557056,0.013112497928273618,2.0252230392300103,0.9258122594110525,-0.06600520545261865,0.22505199748991833,0.03500445431054656,0.009004101072487909,32.0,1.0666666666666667,131.96720312510024,50.764694554119004,107.98749999776192,1.2022407820882317,0.3030765690649798,0.1407650166667736,0.2032222535701265,4.0,4.0,0.5287472500012882,0.3913927993160983,4.013351000000209,0.5097045438630943,2.0,0.0,0.5636523779547523,0.754322998213533,0.21550077356328304,0.35612642497067803,1.951597655573916,0.375,1.1,3.0,6.0,5.0,559.0,800.9841051101685,1.0,1.4328874867802657,1.0,1.0,874.9841051101685,93.0,47.0,1.0,True,0.0625,
zahabi__331__centrifuge,centrifuge,1,P12,zahabi,sess_1764873793901_qatgkd,17015.618229,1764872989.679381,17005.618229,17015.618229,1205.0,1.0041666666666667,1.8975643441561034,0.13240110603584698,1.887156210586578,0.1323832549763735,0.01327653320077196,2.122856830531108,0.6817532041844647,0.7601577219698803,0.10862357692443854,0.958729757407637,0.013704484243525173,64.0,2.1333333333333333,157.3645312500389,51.10112404257632,156.0284999995929,1.099166495374246,0.3295705170691893,0.335711000000083,0.04632756262561513,,,,,,,,0.0,0.5102257244074696,0.6570438023868233,0.10983943077461018,0.29480930868181343,0.7059138107865213,0.875,0.6,3.0,6.0,5.0,559.0,1561.778380870819,1.0,2.7938790355470826,1.0,1.0,1636.778380870819,0.0,0.0,1.0,True,1.0041666666666667,
lenovo__231__centrifuge,centrifuge,1,P14,lenovo,sess_1764877390836_kqyf3k,63145.63376,1764876668.8543787,63135.63376,63145.63376,826.0,0.6883333333333334,3.3078699134102685,0.7306922778047376,3.6925424752010363,0.4582229993027638,-0.12020375793148266,3.0286391682744593,1.7263292433013475,0.14688488280436662,0.2630214350563452,0.13073619276517584,-0.04108950568113039,97.0,3.2333333333333334,150.160840205871,53.880941931252366,153.6435000016354,1.0886074490966713,0.3309250892440128,0.48552004999898296,0.054643705500570204,2.0,2.0,0.2633220000025176,0.08617500000036671,24.495844999997644,0.0,0.0,0.0,0.47883249138333256,0.05153378887643321,0.06872686590255662,0.11404994457031237,-0.0,1.0,0.0,2.0,2.0,6.0,80.0,91.01837873458862,1.0,1.1377297341823578,1.0,1.0,111.01837873458862,10.0,1.0,1.0,True,0.6883333333333334,
zahabi__311__centrifuge,centrifuge,1,P8,zahabi,sess_1764860095668_e910ks,3636.660942,1764859610.7196178,3626.660942,3636.660942,2109.0,1.7575,5.3740691991293925,1.053023425423096,4.933310076668682,2.0580200567695446,0.08099451084884068,5.935748366702801,1.9635724593075183,0.08104921893091456,0.08427714550420536,0.08450780946714964,0.016345003438692152,85.0,2.8333333333333335,130.55654117646125,50.037363724063184,112.47099999991406,1.1679430524316101,0.37299694646766046,0.3699101999999736,0.07088333898527646,1.0,1.0,1.5653019999999742,,,,1.0,0.0,0.5265589180271932,0.2591110202644275,0.07701580854995807,0.17102806121673103,1.2307353842616726,0.6235294117647059,0.9,5.0,12.0,3.0,298.0,4.051617860794067,0.0,0.013596033089912979,0.0,1.0,1136.051617860794,35.0,8.0,0.4051617860794067,True,1.7575,
lenovo__231__centrifuge,centrifuge,1,P14,lenovo,sess_1764877390836_kqyf3k,63154.63376,1764876677.8543787,63144.63376,63154.63376,1392.0,1.16,2.5900146368444825,0.7221835449271761,2.405758874714322,1.4175925670266696,0.059491442443857664,2.7786467292952923,1.333210830461955,-0.10889488391600115,0.2617201923071215,-0.1146497999214462,0.02033608602876547,104.0,3.466666666666667,158.32559615382007,53.60293349384434,171.62499999903957,1.0424846630952826,0.3211039752443906,0.5488620666665762,0.03676530124985696,2.0,2.0,0.339370500001678,0.16222349999952712,2.6058110000012675,0.0,1.0,0.0,0.47156210642694973,0.04549249738870684,0.06595529401670874,0.09933019361579729,-0.0,1.0,0.0,2.0,2.0,6.0,80.0,100.01837873458862,1.0,1.2502297341823578,1.0,1.0,120.01837873458862,11.0,2.0,1.0,True,1.16,
