session_uid,procedure_slug,procedure_id,participant_id,laptop_short,rtaps_session_id,decision_time_synced_t,decision_time_unix_t,window_start_synced_t,window_end_synced_t,pupil_n_samples,pupil_data_yield,pupil_diam_mean,pupil_diam_std,pupil_diam_median,pupil_diam_iqr,pupil_diam_slope,pupil_diam_range,pupil_eye_asymmetry,pupil_pcps_mean,pupil_pcps_std,pupil_diam_mean_z,pupil_diam_slope_z,fixation_count,fixation_rate_per_sec,fixation_dur_mean_ms,fixation_dur_std_ms,fixation_dur_median_ms,fixation_dispersion_mean,fixation_dispersion_std,fixation_time_in_fixation_ratio,fixation_saccade_amp_mean,blink_count,blink_rate_30s,blink_dur_mean_s,blink_dur_std_s,blink_inter_interval_mean_s,blink_inter_interval_cv,blink_long_count,gaze_n_samples,gaze_norm_x_mean,gaze_norm_y_mean,gaze_norm_x_std,gaze_norm_y_std,gaze_region_entropy,gaze_region_top1_ratio,gaze_transitions_per_sec,step_number,step_id,n_steps_remaining,step_threshold_s,time_in_step_so_far_s,is_over_threshold_now,progress_vs_threshold,step_sub_steps_shown_eventually,step_exceeded_threshold_eventually,cumulative_session_time_s,cumulative_blink_count_session,cumulative_long_blink_count_session,frac_window_in_current_step,valid,data_yield,workload_label
lenovo__242__column_flushing,column_flushing,2,P15,lenovo,sess_1764872801388_fahhv6,59020.546732,1764872543.7619927,59010.546732,59020.546732,1443.0,1.2025,3.127527653056339,0.3768677085079943,3.159266452665248,0.5787969287686137,0.057476497385048515,2.328233876767208,0.5992142763295862,0.01611348284581027,0.08380726443131263,0.02427547935822908,0.018823739848749486,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,4.0,23.0,10.0,10.0,7.3349926471710205,0.0,0.733499264717102,0.0,0.0,67.33499264717102,0.0,0.0,0.733499264717102,True,1.2025,
lenovo__222__column_flushing,column_flushing,2,P10,lenovo,sess_1764859992796_enrdj2,46406.57477059894,1764859929.796,46396.57477059894,46406.57477059894,,,,,,,,,,,,,,117.0,3.9,128.23682478626566,47.04067645165123,110.50000000250292,1.2669180725843276,0.25475812726862157,0.500123616666436,0.06953270353429514,6.0,6.0,0.47335549999964616,0.561968640466043,5.386718199998723,0.5723069854366953,1.0,0.0,0.5328411923700639,0.5745671480017017,0.09053162998895806,0.21308163035332653,1.5926055678723492,0.5299145299145299,1.8,12.0,34.0,2.0,13.0,20.0,1.0,1.5384615384615385,0.0,1.0,330.0,44.0,11.0,1.0,True,,
loaner__342__column_flushing,column_flushing,2,P13,loaner,sess_1764866684526_aagzlo,9790.595643,1764866466.604618,9780.595643,9790.595643,678.0,0.565,2.1527258586713374,0.28553389340033813,2.227800279726054,0.17136115987951062,0.02557558951613525,2.549957017287644,0.5238296787796144,0.10709329523711851,0.10595357791457953,0.1772040413602368,0.013985843676884796,120.0,4.0,147.65447916658255,56.65429276605288,130.74849999884464,1.1579475549807967,0.30796962676255446,0.5906179166663302,0.03497807337571295,1.0,1.0,0.2441280000002734,,,,0.0,679.0,0.39919970046275705,0.7343345461822554,0.0883647036099022,0.1286267743843515,1.5967133255098978,0.5640648011782032,6.2,5.0,24.0,9.0,51.0,29.078618049621582,0.0,0.5701689813651291,0.0,0.0,53.07861804962158,7.0,2.0,1.0,True,0.565,
zahabi__362__column_flushing,column_flushing,2,P17,zahabi,sess_1764877305136_arpc65,21198.810002,1764877172.870218,21188.810002,21198.810002,1662.0,1.385,3.101082271546209,0.47025960467437605,3.160322210964444,0.8078428568969782,0.09789583714627091,2.7869777404914675,0.7417135510004318,-0.03427128191268886,0.12465408048374398,-0.02943972102565297,0.030638919800001878,103.0,3.433333333333333,139.59408737849745,52.81327414497562,122.1000000005006,1.26480380042743,0.20300417472910406,0.4792730333328412,0.05912627841617798,6.0,6.0,0.5252349999997629,0.6589153701046925,5.025097999999707,0.6743580749070811,1.0,1662.0,0.48551199165036296,0.328278099609807,0.06206733411798205,0.17646106523026284,0.8928553438752947,0.822503008423586,11.5,7.0,26.0,7.0,75.0,40.71421813964844,0.0,0.5428562418619791,0.0,0.0,91.71421813964844,31.0,3.0,1.0,True,1.385,
lenovo__252__column_flushing,column_flushing,2,P18,lenovo,sess_1764879467319_itgey8,65928.10717357177,1764879451.319,65918.10717357177,65928.10717357177,1094.0,0.9116666666666666,3.176252012122152,0.3269997627353066,3.1983264221883703,0.4266416161986837,0.04929276068376179,2.552942027460337,0.4597938980814176,-0.07204557839301036,0.06777142316332174,-0.07237449794299322,0.01439596785851384,77.0,2.566666666666667,110.17689610020312,32.836840827315626,96.9724999886239,1.2535662896393391,0.24987058142086188,0.282787366657188,0.08495967392223333,0.0,0.0,,,,,0.0,1095.0,0.5004530773446013,0.618168111958688,0.0721542751276253,0.17761943486511803,1.077175055124195,0.7031963470319634,2.2,13.0,35.0,1.0,69.0,46.0,0.0,0.6666666666666666,0.0,0.0,386.0,27.0,2.0,1.0,True,0.9116666666666666,
lenovo__232__column_flushing,column_flushing,2,P14,lenovo,sess_1764872309516_ivesvw,58414.29869623953,1764871937.516,58404.29869623953,58414.29869623953,1231.0,1.0258333333333334,3.253309879594206,0.3612313462176699,3.307711443647756,0.6781786404085413,0.03337846819623287,2.644206988370979,0.6289371327713642,0.12912402810425888,0.13621723794158416,0.12699752957509208,0.011562824505007605,121.0,4.033333333333333,153.35164876021676,55.48565303578323,149.9889999977313,1.1949181220532352,0.2882313379797535,0.6185183166662076,0.0659778050182342,9.0,9.0,0.210578444443753,0.08223703080944807,3.294127999999546,0.8898760185789112,0.0,1232.0,0.541253779973651,0.5265827543132785,0.10862009792529526,0.2440275451811152,1.8256813894070327,0.5641233766233766,4.7,1.0,20.0,13.0,27.0,17.0,0.0,0.6296296296296297,0.0,1.0,17.0,14.0,0.0,1.0,True,1.0258333333333334,
loaner__332__column_flushing,column_flushing,2,P12,loaner,sess_1764866295975_rj31nl,9539.379269,1764866215.3883903,9529.379269,9539.379269,888.0,0.74,2.054914668626547,0.10229007971725358,2.0354743465654526,0.15851650949680018,0.02158216515072489,0.501370564882456,0.07790936528732706,0.02546612639084347,0.049111980218043735,0.0236688644872949,0.010751293389611264,117.0,3.9,150.27753846167883,53.53561821862386,146.94200000121782,1.20953034419722,0.26504858258793446,0.5860824000005475,0.03533344992059944,2.0,2.0,0.6675909999994474,0.1370569999999134,8.281133999998929,0.0,2.0,888.0,0.46906758796831477,0.632999075202875,0.023708205889157404,0.09639422395609618,0.7965845428426312,0.7984234234234234,3.5,10.0,32.0,4.0,35.0,24.413390398025513,0.0,0.6975254399435861,0.0,1.0,289.4133903980255,20.0,11.0,1.0,True,0.74,
zahabi__362__column_flushing,column_flushing,2,P17,zahabi,sess_1764877305136_arpc65,21217.810002,1764877191.870218,21207.810002,21217.810002,1812.0,1.51,3.0183136534342863,0.47692762736033095,2.995566993124794,0.6519540343125572,0.03515807831075992,3.463063579931558,0.6818086116623059,-0.05713035496924997,0.12810800990168467,-0.055344204057950964,0.011003588845928695,110.0,3.6666666666666665,128.32056363672152,44.7879429116881,116.08274999889545,1.3161254392519768,0.1970961567349165,0.4705087333346455,0.07798759290150256,3.0,3.0,0.833177666667325,0.8239501141911607,8.983173499998884,0.6257002049444355,1.0,1812.0,0.5734030516700949,0.51614295936922,0.120435064604015,0.26834134010995647,2.0626887393354667,0.4056291390728477,5.4,8.0,27.0,6.0,93.0,13.714218139648438,0.0,0.14746471117901547,0.0,0.0,110.71421813964844,32.0,3.0,1.0,True,1.51,
loaner__312__column_flushing,column_flushing,2,P8,loaner,sess_1764863113978_ooz1xs,6388.440574,1764863064.4497,6378.440574,6388.440574,,,,,,,,,,,,,,114.0,3.8,168.67824122815173,51.84775682615759,198.45449999957054,0.9458092648049654,0.36645906560867364,0.6409773166669765,0.04617330052816579,1.0,1.0,1.8492770000002563,,,,1.0,0.0,0.43486488513050037,0.5461069477334815,0.07355725288011396,0.24196102521153534,1.6089262020051407,0.4473684210526316,0.6,13.0,35.0,1.0,69.0,49.4717001914978,0.0,0.7169811621956204,0.0,1.0,372.4717001914978,43.0,18.0,1.0,True,,
loaner__342__column_flushing,column_flushing,2,P13,loaner,sess_1764866684526_aagzlo,9815.595643,1764866491.604618,9805.595643,9815.595643,610.0,0.5083333333333333,1.9283774755306433,0.3597221805544484,1.8069056818473066,0.4990775948388475,-0.05929882618083153,1.8922264658451295,0.41374325070605544,0.0014423604409271149,0.1569097262706759,0.05452059690676386,-0.03242717485220244,101.0,3.3666666666666667,152.97368811883248,67.464642850401,145.46049999989918,1.1738704450883541,0.23404815762709025,0.515011416666736,0.03859818322967944,3.0,3.0,0.5473769999995662,0.3834680534829369,1.3967304999996486,0.5668112066002751,1.0,611.0,0.3702425007041445,0.7956801103516363,0.11353500194229378,0.15643995314783535,1.6056848220758293,0.4795417348608838,2.9,7.0,26.0,7.0,75.0,23.078618049621582,0.0,0.30771490732828777,1.0,1.0,78.07861804962158,10.0,3.0,1.0,True,0.5083333333333333,
